,TranslatedRecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions
5688,Kabuli Chana Kofta Biryani Recipe - Chickpea Kofta Biryani,"1-1/2 cup Kabuli Chana (White Chickpeas) - soaked for 8 hours,1 Onion - chopped,1 tablespoon Green Chilli - chopped,1 tablespoon Garlic - chopped,1 tablespoon Coriander (Dhania) Leaves - chopped,1 tablespoon Mint Leaves (Pudina) - chopped,1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1/4 teaspoon Fennel seeds (Saunf),Salt - to taste,2 Onions - finely chopped,1 teaspoon Ginger - finely chopped,1 teaspoon Garlic - finely chopped,1 cup Homemade tomato puree,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 teaspoon Garam masala powder,1/4 cup Fresh cream,Salt - to taste,1 tablespoon Sunflower Oil,1 cup Basmati rice,2 Bay leaf (tej patta),4 Cloves (Laung),2 Cardamom (Elaichi) Pods/Seeds,Salt - to taste,1/4 cup Milk - warm,Saffron strands - a generous pinch,1 tablespoon Coriander (Dhania) Leaves - chopped,1 tablespoon Mint Leaves (Pudina) - chopped,1 tablespoon Ghee",20,40,60,4,North Indian,Main Course,Vegetarian,"To begin making  Kabuli Chana Kofta Biryani  first prep all the ingredients and keep aside.Take the soaked kabuli chana, drain the water and pulse it in the mixer grinder until you get a coarse mixture. Make sure that you do not grind it into a smooth paste. Remove the pulsed kabuli chana in a bowl and add in all the other ingredients like chopped onions, green chillies, coriander and mint leaves, fennel seeds, chilli powder and salt.  Heat a Kuzhi paniyaram pan over medium heat, add 1/4 teaspoon of oil in each of the cavities of the pan.Spoon a tablespoon of Kabuli Chana Pakora mixture into each of the cavities of the pan.Cook Kabuli Chana Pakora on medium high heat and turn them once they turn golden brown on one side. This will take about three minutes. Cook the other side of the pakoras till they turn golden brown as well.Make sure the inside of the Kabuli Chana Pakora is well cooked and the outer covering is nice and crisp.Drain the well fried Kabuli Chana Pakoras on an absorbent paper and keep aside.Next make the gravy for Kabuli Chana Kofta Biryani. Heat a kadai and add oil, once hot add the chopped onions and fry till they start become golden brown. Next add the chopped ginger and garlic and fry till the raw smell goes off. Do not brown the garlic and ginger. Add all the dry masalas now, like the turmeric powder, chilli powder, coriander powder and garam masala powder. Add the tomato puree and saute till the raw smell goes off and saute on medium heat for five minutes.Add half a glass of water and boil for five minutes. Then add the koftas in the gravy and simmer for another five minutes. Finally add fresh cream and stir to make the gravy thick and creamy, simmer for a minute and stir continuously. Switch off and keep aside.To make the flavored riceWe begin making the Kabuli Chana Kofta Biryani Recipe by cooking the rice first in pressure cooker, so heat the pressure cooker with a tablespoon of oil, add all the whole spices, and let the aroma come out.Then add in the soaked rice with 2 cups water and pressure cook for 2 whistles, and reduce the heat and cook it in the simmer for 5 more minutes. Release the pressure naturally. Keep it aside.Add saffron strand in warm milk and keep aside.Assembling the biryaniTake a deep saucepan or another pressure cooker big enough to hold both the gravy and the rice.First add ghee at the bottom. Layer the bottom of the pan with half the kofta gravy, add half the rice over this kofta layer. .Sprinkle chopped coriander leaves, mint leaves and half of the saffron milk. Repeat the process with the leftover gravy and rice and saffron milk.Cover the saucepan and place it on low it and simmer for 5 minutes until the flavours go into the rice.Once done, turn off the heat and wait for 5 minutes before fluffing up the Kofta biryani.Serve the Kabuli Chana Kofta Biryani along with Mirchi Ka Salan and Tomato Onion Cucumber Raita and  Ragi Malpua With Rabri for your next party.
"
5689,Curry Fried Quinoa Rice Recipe,"2 cups Quinoa - cooked beforehand,1 cup Brown Rice - cooked beforehand,1/2 cup Carrots (Gajjar) - finely diced,1/2 cup Green peas (Matar),1/2 cup Red Bell pepper (Capsicum) - diced,1 sprig Curry leaves,1 cup Onions - chopped,1 tablespoon Extra Virgin Olive Oil,1/2 teaspoon Garlic - finely diced or crushed,2 Whole Eggs - whisked in a bowl,1 tablespoon Curry powder,1 teaspoon Soy sauce,1/8 teaspoon Brown Sugar (Demerara Sugar),Salt - to taste,Black pepper powder - to taste",20,20,40,4,Indian,Lunch,Vegetarian,"To begin making Curry Fried Quinoa Rice Recipe, mix the cooked quinoa and brown rice in a bowl. Break down the lumps with your hands and mix it well. If required, grease your hands with a little vegetable oil. Set it aside.Heat a little oil in a pan and swirl it around the pan to coat. Add the whisked egg and scramble vigorously to break it up into small bits. When the eggs, are cooked, transfer them to a plate.In the same wok, add the remaining oil. Once it is warm, add garlic and curry leaves and saute it for 30 seconds. Add the onions and peppers in the wok and saute it for another 30 seconds.After 30 seconds, add the remaining vegetables which are peas and carrots. Saute the vegetables on high heat for about a minute or two until they vegetables are half cooked.Add the curry powder, soy sauce, salt, sugar and pepper. Stir and cook for about 30 seconds. Add the quinoa rice mixture and stir fry until well combined. Lastly, Add the scrambled egg and combine. Turn off the heat and transfer it to a serving plate.Serve the Curry Fried Quinoa Rice with Pumpkin raita or Lauki raita.
"
5694,Palak Paneer Kathi Roll Recipe -High Protein Spinach Cottage Cheese Wraps Recipe,"1 cup Whole Wheat Flour,1/2 cup Spinach Leaves (Palak) - pureed,1 Green Chilli - finely chopped,1/2 teaspoon Cumin powder (Jeera),Salt - to taste,Sunflower Oil - for kneading,150 grams Paneer (Homemade Cottage Cheese) - crumbled,2 Green Chillies - finely chopped,2-3 Garlic - finely chopped,1 Onion - finely sliced,4 sprig Coriander (Dhania) Leaves - finely chopped,1 Tomato - finely sliced,2 teaspoon Red Chilli powder,2 teaspoon Garam masala powder,1/2 teaspoon Turmeric powder (Haldi),4 tablespoon Roasted tomato pasta sauce,4 tablespoon Mustard sauce,Salt - to taste",15,30,45,4,Indian,Snack,Vegetarian,"To begin making the Palak Paneer Kathi Roll Recipe, first prep all the ingredients and keep them ready.Puree the spinach along with the green chili and keep it aside. In a mixing bowl, add the wheat flour, palak puree, cumin powder, salt and knead to make a smooth dough, adding any additional water if required.Finally, add a teaspoon of oil and knead well to make a soft palak paratha dough.Divide the paratha dough into 4 portions.Heat a skillet over medium heat to make the palak parathas. Dust the dough with flour and roll to make a large circle of 8 inch diameter.Cook the paratha on the heated skillet. Drizzle ghee or oil over the palak paratha and cook on both sides until cooked through. You will see light brown spots on both sides. Cook all the parathas in a  similar way and stack them.The next step is to make the Paneer Bhurji. To make the Paneer Burji, mix all the ingredients listed under to make the paneer bhurji filling in. Check the salt and spices and adjust to suit your taste.To make the wrap, add a tablespoon of the sauce on each paratha and spread well.Spoon the paneer Burji mixture into the paratha. Roll to form a wrap and serve.Serve the Palak Paneer Bhurji Roll along with Cold Coffee Smoothie or Cantaloupe Pomegranate and Mint Juice for breakfast or evening snack.
"
5696,Aloo Bhindi Masala Gravy Recipe,"250 grams Bhindi (Lady Finger/Okra) - cut into 1-1/2 inch pieces,1/2 teaspoon SSP Asafoetida (Hing),1 teaspoon Mustard oil,Salt - to taste,2 Potato (Aloo) - peeled and cut into wedges,1/4 teaspoon Asafoetida (hing) - a pinch,1/2 teaspoon Cumin (Jeera) seeds,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 tablespoon Mustard oil,1 Onion - finely chopped,6 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,1 cup Tomatoes - puree,1 inch Cinnamon stick,1 Bay leaf (tej patta),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),Water - as required,Salt - to taste,Sunflower Oil - as required,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),Coriander (Dhania) Leaves - a few",15,20,35,4,North Indian,Lunch,Vegetarian,"To begin making the Aloo Bhindi Masala Gravy Recipe, first we will pan fry the bhindi.Into a preheated pan add oil. Once the oil is hot add the asafoetida, bhindi and salt to taste. Saute for a minute and the cover the pan. Keep your ladle in the pan to keep the lid ajar a little. This will help the bhindis to cook well but not get soggy at the same time.Cook the bhindi until they are completely done. Stir occasionally to cook them evenly. Once done keep the bhindi aside. Next we will roast the potatoes. Into a preheated pan add mustard oil, cumin seeds, asafoetida, turmeric powder, potatoes and salt to taste.Saute for a minute and then cover the pan.Cook the potatoes until cooked through. Once done turn off the heat and keep aside.  We will finally make the gravy for the Aloo Bhindi Masala.Into  preheated pan add oil, onions, garlic, ginger and saute until the onions soften and turn golden brown in color. Once done add the cinnamon, bay leaf, tomato puree, turmeric powder, red chili powder, coriander powder and salt to taste.Bring the masala to a brisk boil for 3 to 4 minutes.After 4 minutes add the roasted potatoes and bhindi in to the masala.Stir well to combine and simmer the aloo bhindi masala for 3 to 4 minutes.Finally stir in the kasuri methi. Cook for a minute and turn off the heat. Transfer the Aloo bhindi masala gravy into a serving bowl. Garnish it with some chopped coriander leaves and serve.Serve this simple and tasty Aloo Bhindi Masala Gravy Recipe along with Lasooni Dal, Tomato Onion Cucumber Raita and Phulka for an everyday meal.
"
5700,Khatte Chole Recipe - A Delicious North Indian Chana Masala,"1-1/2 cups Kabuli Chana (White Chickpeas) - soaked overnight and boiled,1 Onion - thinly sliced,1 Tomato - thinly sliced,1 Cinnamon Stick (Dalchini),2 Cloves (Laung),1 inch Ginger - grated,1 teaspoon Ajwain (Carom seeds),1 teaspoons Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1 teaspoon Garam masala powder,2 teaspoons Amchur (Dry Mango Powder),2 teaspoons Ghee,Salt - to taste,1 Onion - thinly sliced,1 Green Chilli - finely chopped",60,30,90,4,North Indian,Lunch,Vegetarian,"To begin making Khatte Chole Recipe, soak the white chickpea or kabuli chana overnight and in the morning boil it with enough water using a pressure cooker for 8 to 10 whistles - about 30 minutes and keep aside.Heat ghee in a large saucepan on medium heat, add ajwain, cinnamon stick and the cloves and let its aroma get released in the ghee.Add the slices onions and ginger and sauté until they are slightly soft. This will take around 3 to 4 minutes.Add sliced tomatoes, cook until the tomatoes turns mushy.Once the tomatoes have softened add the spice powders - red chilli powder, garam masala, coriander, and amchur, and cook until the ghee leaves the sides.Add the boiled kabuli chana, season with salt and let it simmer for 20 minutes until the Khatte Chole gets well coated with the masala. Once done, check the salt and spices and adjust to suit your taste.Serve the Khatte Chole Recipe along with Gehu Bajra Thepla or Bhatura Recipe along with the fresh onion salad and Masala Chaas Recipe for the weekend brunch.
"
5702, Nuvvula Pachadi (Recipe In Hindi),"1 कप तिल (सफ़ेद),1 छोटा चमच्च लाल मिर्च पाउडर,1 छोटा चमच्च इमली का पानी,1-2 छोटा चमच्च दही,1/2 छोटा चमच्च निम्बू का रस,नमक - स्वाद अनुसार,1/2 छोटा चमच्च राइ,हींग",5,10,15,4,Indian,Side Dish,Vegetarian,"नुव्वुला पचड़ी बनाने के लिए सबसे पहले एक कढ़ाई गरम कर ले. इसमें तिल डाले और हल्का भूरा होने तक पका ले. ठंडा होने दे और ब्लेंडर में डाल दे.  इसमें लाल मिर्च पाउडर, इमली का पानी और नमक डाले। इस को पीस ले. एक बाउल में निकाल ले. इसमें दही और निम्बू का रस डाले।अब एक छोटी कढ़ाई में तेल गरम करें। इसमें हींग और राइ डाले। 10 सेकण्ड्स तक पकने दे और फिर इसे पचड़ी में डाल दे. नुव्वुला पचड़ी को टमाटर प्याज सांबर, चाउ चाउ थोरन और चावल के साथ दिन के खाने के लिए परोसे।
"
5703,Pan Fried Broccoli Pakora Recipe,"250 grams Broccoli - roughly chopped,1 Onion - thinly sliced,50 grams Gram flour (besan),1 teaspoon Fennel seeds (Saunf),1 teaspoon Chaat Masala Powder,Salt - to taste,Sunflower Oil - as required",5,30,35,4,North Indian,Snack,Vegetarian,"To begin making the Pan Fried Broccoli Pakora Recipe, combine all the ingredients together in a bowl including broccoli, onion, gram flour, fennel seeds, chaat masala powder and salt.Add water little at a time, to make a thick pakora batter. Check the salt, spices and adjust to suit your taste.Preheat the Kuzhi Paniyaram Pan on medium heat; add a few drops of oil into each cavity. Spoon the Broccoli Pakora batter into the cavity and pan-fry them until it is browned and crisp on both sides. Each side will take about 3 to 4 minutes on low heat.Once done transfer the Broccoli Pakoras onto a plate with an oil absorbent paper, so that it soaks up the excess oil from the Pakoras.Proceed the same way with the remaining Broccoli Pakora Batter.Arrange the Broccoli Pakoras on a serving platter, sprinkle some chaat masala, place some pickled onions by the side and serve it as a snack or as an appetizer for parties.Serve Pan Fried Broccoli Pakora Recipe along with Dhaniya Pudina Chutney and a hot cup of Masala Chai or Adrak Chai for your evening snacks.
"
5712,Savoury Carrot And Coriander Pancakes Recipe,"1 cup Oats Flour,1/2 cup Carrots (Gajjar) - grated,1/2 cup Paneer (Homemade Cottage Cheese) - grated,1/2 cup Coriander (Dhania) Leaves - finely chopped,1 cup Buttermilk,1 Green Chilli - finely chopped,1 teaspoon Ginger - grated,Baking powder - A pinch,Butter - to make pancakes,Salt - to taste",10,20,30,2,Indian,Snack,Vegetarian,"To begin making Savoury Carrot and Coriander Pancakes Recipe, take a big bowl and add all the ingredients except buttermilk and mix it evenly.To this add add the buttermilk slowly to make a thick batter. The consistency of the batter should be a little thicker than the regular pancake batter.Heat a griddle an on medium heat. Pour a ladle full of the pancake batter on it and gently spread it to form a medium sized circle and apply a little butter on the sides.Cook on medium heat for two minutes. Flip and cook for 2 minutes till done.Serve the Savoury Carrot and Coriander Pancakes with Tomato Garlic Chutney or spiced hung curd dip to make an interesting breakfast item on a lazy weekend.
"
5716,Moong Dal With Radish Greens Recipe,"1 cup Yellow Moong Dal (Split),Mooli Ke Patte (Radish Greens) - a bunch,Salt - to taste,3 cloves Garlic - finely chopped,1 inch Ginger - grated,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Amchur (Dry Mango Powder),2 tablespoons Sunflower Oil,1 tablespoon Ghee,1 teaspoon Cumin seeds (Jeera),2 Dry Red Chillies",21,30,51,4,Indian,Side Dish,High Protein Vegetarian,"To prepare the Moong Dal With Radish Greens recipe, begin by cleaning and washing the moong dal. Soak it in water for 10-15 minutes.Meanwhile wash the radish greens well and chop them finely.Next, in a pressure cooker heat a teaspoon of cooking oil over medium heat. Once oil is hot enough add the chopped garlic and grated ginger. Stir fry on low heat till garlic turns light brown in color.Add the soaked moong dal along with turmeric powder, red chili powder, mango powder and 2 cups of water and stir to combine. Close the lid of the pressure cooker and let the moong dal cook over medium heat for 2 to 3 whistles. Turn off the heat. Allow the pressure to release naturally.While the dal is cooking in the pressure cooker, in a pan heat a teaspoon of oil over medium heat. Add the chopped radish greens and cook until the greens are wilted and cooked through. Turn off the heat and keep aside.Once the pressure has released, open the lid of the pressure cooker and gently mash the dal with the back of the spoon. This will help thicken the moong dal. Add the cooked radish greens and stir to combine. Check the salt and spice levels and adjust to suit your taste.The last step is to temper the dal. In a tadka pan, heat some ghee on medium heat. When it is warm, add the cumin seeds. Once they crackle, add the red chilli, roast the chillies for a few seconds and turn off the heat.Pour the tadka over the dal and stir to combine. Serve Moong Dal With Radish Greens hot along with phulkas, rice and salad.
"
5720,Hariyali Chicken Tikka Masala Recipe,"300 grams Chicken breasts - cut into small pieces,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Garam masala powder,1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Cumin powder (Jeera),1/4 cup Curd (Dahi / Yogurt),1/4 cup Fresh cream,Salt - to taste,1 cup Coriander (Dhania) Leaves,1 cup Mint Leaves (Pudina),1 Green Chilli",80,30,110,4,North Indian,Lunch,Non Vegeterian,"To begin making the Hariyali Chicken Tikka Masala Recipe, we will first grind the coriander leaves, mint leaves and green chilli to a smooth paste in a mixer grinder.Add this ground paste along with turmeric powder, garam masala powder, amchur powder, cumin powder and curd into a bowl. Mix everything well.Add chicken pieces to this marination and salt to taste. Mix well and keep it aside for about 1 hour.After an hour, heat a heavy bottomed pan with oil and add only the chicken pieces into the kadai to fry.Fry until the chicken pieces are cooked and they crisp up. Take them out and keep it aside.In the same kadai, add the remaining marination gravy that is left out, and cook till the gravy has reduced. This will take about 3 to 4 minutes.Check for salt and seasoning, if required you can add them. Add cream at the end and little bit of water to adjust consistency.Cook for 2 minutes and add cooked chicken pieces into the gravy and serve hot.Serve the Hariyali Chicken Tikka Masala Recipe along with Tawa Paratha or Garlic Naan and Burani Raita with Saunf Aloo & Dal Kebab Recipe by the side to make it a complete meal.
"
5725,Green Moong Dal Cheela Recipe - Savory Green Mung Bean Pancakes,"1 cup Green Moong Dal (Whole),1-1/2 tablespoons Rice flour,1/4 cup Coriander (Dhania) Leaves - chopped,2 Green Chillies - finely chopped,1 inch Ginger - grated,3 cloves Garlic - finely chopped,3/4 cup Water,Salt - or to taste,1/2 teaspoon Red Chilli powder,1 teaspoon Garam masala powder,2 teaspoons Flax seed powder (flax meal),Sunflower Oil - for shallow frying",7,30,37,4,North Indian,North Indian Breakfast,Diabetic Friendly,"To begin making Moong Dal Cheela Recipe, soak the moong dal in water for a 5 to 6 hours or preferably overnight. Once soaked, using a grinder, coarsely grind the moong dal with a very little water to make a thick batter.Once done, remove the moong dal cheela batter into a mixing bowl, add other ingredients like rice flour, coriander leaves, green chillies, ginger and garlic, salt, red chilli powder, garam masala powder and flax seed powder. Mix everything well.The batter should be thick pouring consistency. Check the salt and adjust to suit according to taste. Place a tawa on medium heat, add a few teaspoons of oil. Once the oil is hot, add two heapful tablespoons of the moong dal cheela batter on the tawa. Quickly spread it using the back of a spoon and let the moong dal cheela cook for a minute or two or till the bottom of the cheela turns golden brown. Flip the moong dal cheela and cook other side of the cheela too.Remove the Moong Dal Cheela on an absorbent sheet or kitchen towel to absorb the excess oil. Use the moong dal cheela batter in a similar way to make more cheelas. Once done, it is ready to be served.Serve Moong Dal Cheela Recipe along with Tomato Chutney or Capsicum Chutney Recipe for a wonderful and healthy North Indian Style breakfast and also an Indian Diabetic Breakfast.
"
5726,Karela Thepla Recipe - Bitter Gourd Indian Flat Bread,"1 cup Whole Wheat Flour,1/2 cup Gram flour (besan),2 to 3 tablespoons Karela (Bitter Gourd/ Pavakkai) - grated,1 teaspoon Ajwain (Carom seeds),1 inch Ginger - grated,2 Green Chillies - ground to paste,Salt - to taste,1/2 teaspoon Red Chilli powder,1/2 teaspoon Cumin powder (Jeera),1 teaspoon Turmeric powder (Haldi),1-1/2 teaspoons Ghee - or oil,1/2 cup Lukewarm Water,2 tablespoons Butter - melted",25,25,50,4,Indian,Lunch,Diabetic Friendly,"To begin making the Karela Thepla Recipe, in a large mixing bowl, add wheat flour and besan along with grated karela, ajwain, turmeric, red chili powder, cumin powder, green chili paste, ginger paste, ghee/oil and mix well with a spoon or fork.Now slowly add warm water and knead the flour mix to make a soft dough.Heat a flat bottomed tawa and meanwhile prepare the theplas. Pinch a lemon sized ball from the dough and roll out to make a thin roti on the dusted floor.Once the tawa is hot, place the thepla on the tawa and dry roast it from both sides.Now brush some melted butter on both sides of the thepla one by one and roast till golden in colour.Transfer the thepla on a serving plate and serve hot. Serve Karela Thepla along with Tomato Onion Cucumber Raita and Aam Ka Achaar for a light lunch or breakfast.
"
5730, Boiled Potato in Tangy Tomato Sauce (Recipe In Hindi),"6 आलू - उबालकर छिलका निकले और काट ले,4 टमाटर - प्यूरी बना ले,तेल - प्रयोग अनुसार,1 छोटा चमच्च जीरा,1/4 छोटा चमच्च हींग,नमक - स्वाद अनुसार,लाल मिर्च पाउडर - स्वाद अनुसार,1 छोटा चमच्च शक्कर,1/4 हल्दी पाउडर,1 छोटा चमच्च जीरा पाउडर - सेक ले,1/4 छोटा चमच्च गरम मसाला पाउडर,1 छोटा चमच्च धनिया पाउडर",20,30,50,4,North Indian,Lunch,No Onion No Garlic (Sattvic),"रसे वाले आलू बनाने के लिए सबसे पहले एक कढ़ाई में तेल गरम कर ले। इसमें जीरा और हींग डाले। 15 सेकण्ड्स बाद इसमें टमाटर की प्यूरी डाले और 3 से 5 मिनट के लिए पकने दे. 5 मिनट बाद इसमें सारे शक्कर मसाले और शक्कर डाले। मिलाए और 1 मिनट के लिए पकने दे. 1 मिनट बाद आलू और 1 गिलास पानी डाले और 5 से 8 मिनट के लिए पकने दे.  थोड़े आलू को मैश कर ले ताकि ग्रेवी थोड़ी और गाढ़ी हो जाए. गरमा गरम परोसे। रसे वाले आलू को बूंदी रायता और पूरी के साथ दिन के खाने के लिए परोसे।
"
5731,Sweet Potato Dal Recipe,"1 कप मसूर दाल,1 कप शकरकंदी - काट ले,1 बड़ा चमच्च नारियल का तेल  - कोई भी चलेगा,2 प्याज - बारीक काट ले,1 टमाटर - बारीक काट ले,1 छोटा चमच्च जीरा,4 हरी मिर्च - काट ले,5 लहसुन - छीलकर काट ले,1-1/2 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च लाल मिर्च पाउडर,1 छोटा चमच्च गरम मसाला पाउडर,5 कढ़ी पत्ता,1/2 छोटा चमच्च नमक,2 कप्स पानी,1 छोटा चमच्च तेल,1/2 छोटा चमच्च जीरा,1/2 छोटा चमच्च काली उरद दाल (स्प्लिट),1/2 छोटा चमच्च राइ,हरा धनिया - थोड़ा",10,35,45,4,North Indian,Lunch,Vegetarian,"शकरकंदी की दाल बनाने के लिए सबसे पहले मसूर दाल को पानी में 1 घंटे के लिए भिगो ले।अब एक प्रेशर कुकर में दाल के साथ प्रयोग अनुसार पानी डाले और 2 सिटी आने तक पकाए। 2 सिटी आने के बाद, गैस बंद करें और प्रेशर निकलने दे. अब एक कढ़ाई में तेल गरम करें। उसमे जीरा डाले और 10 सेकण्ड्स तक पकाए। 10 सेकण्ड्स के बाद इसमें हरी मिर्च और लहसुन डाले। लहसुन को भूरा होने तक पकाए। अब प्याज डाले और उनके नरम होने तक पकाए, अब इसमें कटे हुए टमाटर डाले और टमाटर के नरम होने तक पकाए।अब बताए हुए मसाले डाले और अच्छी तरह से मिला ले. अब इसमें शकरकंदी और पानी डाले और शकरकंदी के पकने तक पकाए। शकरकंदी के पकने के बाद उसमे नमक डाले। आंच को धीमा करें और 5 मिनट तक पकाए। 5 मिनट के बाद बंद करें और गरमा गरम परोसे। शकरकंदी की दाल को लौकी बड़ी की सब्ज़ी, बूंदी रायता और फुल्के के साथ दिन के खाने के लिए परोस सकते है.
"
5732, Tangy Raw Beetroot & Tomato Chutney Recipe,"1/2 कप बीटरूट - छिलका निकलकर काट ले,1/2 कप हरा धनिया - काट ले,1/4 कप टमाटर - काट ले,2 हरी मिर्च - काट ले,1 बड़ा चम्मच निम्बू का रस,पानी - प्रयोग अनुसार,नमक - स्वाद अनुसार",10,5,15,4,Indian,Side Dish,Vegetarian,"बीटरूट और टमाटर चटनी रेसिपी बनाने के लिए सबसे पहले साड़ी सामग्री तैयार कर ले. अब एक फ़ूड प्रोसेसर में बीटरूट, हरा धनिया, टमाटर, हरी मिर्च डाले और अच्छी तरह से पीस ले. अब इसमें निम्बू का रस, स्वाद अनुसार नमक, प्रयोग अनुसार पानी डाले और 20 सेकण्ड्स के लिए पीस ले. एक बाउल में निकाले और परोसे। बीटरूट और टमाटर चटनी रेसिपी को घी रोस्ट डोसा, कीरई सांबर और फ़िल्टर कॉफ़ी के साथ सुबह के नाश्ते के लिए परोसे।
"
5734,Achari Paneer Mini Bread Bowl With Cheesy Twist Recipe,"4 Soup buns,1/2 cup Paneer (Homemade Cottage Cheese),1 cup Onions - chopped,1/2 cup Tomato - chopped,1/2 cup Green Bell Pepper (Capsicum) - chopped,2 Green Chillies - adjustable,1 tablespoon Extra Virgin Olive Oil,1 tablespoon Ginger Garlic Paste,1/2 tablespoon Red Chilli powder,1/2 tablespoon Coriander Powder (Dhania),1/2 tablespoon Achari masala,1/2 tablespoon Kasuri Methi (Dried Fenugreek Leaves),1/4 tablespoon Garam masala powder,Salt - to taste,1/2 cup Mozzarella cheese,1/2 cup Cheese spread",10,20,30,4,Indian,Appetizer,High Protein Vegetarian,"To begin making the Achaari Paneer Mini Bread Bowl With Cheesy Twist Recipe, cut the soup buns from center and scoop out to create a pot like hollow center. Once done, keep them aside.The next step is to make the filling. To make achari paneer/cottage cheese filling, cut the paneer in rough chunks.Heat oil in a heavy bottomed pan. Add green chilies, onions and let it cook for about a minute or two. Add ginger garlic paste and cook for another 4 to 5 minutes.Take a bowl, add red chilli powder, coriander powder, achari masala, garam masala powder and one tablespoon water. Mix everything and add the masala in pan. Cook for about 3 to 4 minutes.After 3 to 4 minutes, add capsicum and cook for 4 to 5 more minutes. Add tomatoes and cook till the tomatoes becomes soft and mushy. Add Paneer and give it a stir.Mix well, put Achaari masala & Kasuri methi/dried fenugreek leaves. Add salt & cook for 2-3 minutes, your Achari Paneer/Cottage cheese filling is ready.Now take out cheese spread and nice spread it in the hollow bread bowls, one tablespoon in each bowl would be sufficient.Put the Achari Paneer/Cottage cheese filling till the top into the bread bowls. Top them with mozzarella cheese.Now on convection bake the pots for 8-10 minutes at 180 degrees. Your Achari Paneer Mini Bread Bowl with Cheesy twist is ready. Sprinkle some oregano and serve them hot.Serve Achari Paneer Mini Bread Bowl With Cheesy Twist along with some Masala Chai and Linzer Cookies during your tea time on weekends.
"
5739,Kale And Vegetable Fried Quinoa Recipe,"2 cups Quinoa,1 cup Onion - chopped,1 cup Celery - chopped,2 cups Kale - stemmed and chopped,1 cup Carrots (Gajjar) - diced,1 cup Green peas (Matar),1/4 teaspoon Garlic - minced,1 tablespoon Extra Virgin Olive Oil,Salt - to taste",10,30,40,4,North Indian,Indian Breakfast,Vegetarian,"To begin making the Kale And Vegetable Fried Quinoa  recipe, cook 2 cups of quinoa with 4 cups water, a spritz of olive oil and 1/2 teaspoon salt. Bring the quinoa mixture to a rolling boil on high heat, about 5 minutes. Lower the heat, cover and let it simmer until they are cooked completely, about 10 minutes. Fluff the quinoa with a fork and set aside to cool.Add a tablespoon of olive oil and minced garlic into a pan on medium heat. Add in onions, peas and carrots. Turn the heat to medium high and saute for a few minutes.Add in the chopped kale and saute for 2 minutes. Toss in the quinoa and combine the mixture. Add salt and pepper; toss them all together gently. Turn off the heat. Devour!Serve Kale And Vegetable Fried Quinoa Recipe on its own along with a cup of hot Masala Chai for breakfast.
"
5742, Tamter Wangun (Recipe In Hindi),"8 बैंगन - सीधा काट ले,3 टमाटर - काट ले,2 बड़े चमच्च तेल,1 छोटा चमच्च जीरा,1/4 छोटा चमच्च हींग,1/4 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च अदरक पाउडर,1 छोटा चमच्च कश्मीरी लाल मिर्च पाउडर,1/2 कप पानी,नमक",20,60,80,4,Indian,Lunch,Vegetarian,"छोटा चमच्च बनाने के लिए सबसे पहले बैंगन को धो कर सीधा काट ले. इन्हे सूखने के लिए अलग से रख ले. अब एक कढ़ाई में तेल गरम करें। इसमें बैंगन डाले और उनके भूरे होने तक पका ले.  टमाटर को काटे और अलग से रख दे. उसी कढ़ाई में थोड़ा तेल और डाले और गरम होने दे. तेल के गरम होने के बाद इसमें जीरा, हींग डाले और 20 सेकण्ड्स तक पका ले. अब इसमें टमाटर डाले और उनके नरम होने तक पका ले. टमाटर के नरम होने के बाद इसमें अदरक पाउडर, लाल मिर्च पाउडर, हल्दी पाउडर, नमक डाले और सबको अच्छी तरह से मिला ले. 5 से 6 मिनट के लिए पकने दे. अब इसमें पके हुए बैंगन डाले और 2 मिनट तक पकने दे. नमक डाले, कढ़ाई को ढके और 3 मिनट और पकने दे. गैस बंद करें और परोसे। टामटेर वांगन को जीरा राइस/फुल्का और पालक रायते के साथ दिन के खाने के लिए परोसे।
"
